,Id,route_distance_km,delta_time,hours,sym_hours_periods,time,distance,speed_from_node,diff_nodes,diff_dist
0,-4773019581999572651,3740.0,862.0,18,5,445.78542856803693,3470.256759,7.784589931858574,2,269.7432410000001
1,-7575630690398473489,3526.0,753.0,6,6,339.6530505591052,2918.173868,8.59163155813373,2,607.8261320000001
2,-6264582368520213833,5071.0,899.0,10,2,555.5162457950685,4564.939071,8.217471776125192,5,506.0609290000002
3,5964315354301636538,2867.0,423.0,14,1,327.57464681405247,2613.543847,7.978468029864278,2,253.45615300000009
4,1372379574816145639,3751.0,540.0,11,1,412.0881532255186,4061.531629,9.85597765237695,1,-310.53162900000007
5,-8362368096859141738,2705.0,282.0,18,5,296.493324388908,2375.166787,8.010860925436933,2,329.8332129999999
6,4520715484981064458,1732.0,372.0,9,3,143.8423951753955,1325.923093,9.217888032128664,1,406.0769069999999
7,-1583226930918508048,4681.0,736.0,20,7,449.8623545908446,3974.231349,8.8343274524818,4,706.7686509999999
8,6784918106611613999,2971.0,609.0,17,4,404.5979659589783,2665.81544,6.588800894442172,2,305.18456000000015
9,-8554970626843006725,5596.0,908.0,7,5,607.0581873192084,5803.505674999999,9.560048437248655,3,-207.50567499999943
10,5884854355772064012,4969.0,843.0,11,1,509.305035921018,4236.92017,8.319022729351245,3,732.0798299999997
11,5200552309759309839,11105.0,667.0,3,9,689.223400563578,7862.178235,11.407300199864219,4,3242.8217649999997
12,247442490992434998,3404.0,556.0,17,4,495.36796838801195,3509.135937,7.083897548763918,1,-105.13593700000001
13,5299812259674705887,4030.9999999999995,485.00000000000006,23,10,402.21262703979374,3875.633969,9.635783932304433,1,155.36603099999957
14,-159611567769140028,2930.0,228.0,4,8,141.43325079795645,1401.301177,9.907862324410685,2,1528.698823
15,8753872071393012841,1714.0,394.0,8,4,226.18111877070373,1804.775189,7.979336201045287,3,-90.77518899999995
16,881419605021863584,4393.0,751.0,11,1,536.8748055780964,3916.061646,7.2941803290308265,2,476.9383539999999
17,-8161802322463825543,8227.0,893.0,21,8,717.0562396543268,6057.8290719999995,8.448192396903643,4,2169.1709280000005
18,1960386351870197879,5689.0,626.0,18,5,284.32661319117165,2977.740344,10.472956824473787,3,2711.259656
19,-4799447581923539182,1504.0,409.0,15,2,235.69026945913896,1357.723879,5.760627632679529,2,146.2761210000001
20,-6742997249805173209,3043.0,508.00000000000006,10,2,349.6466981809741,3301.176986,9.441464779087774,3,-258.17698599999994
21,4432271806888212571,3119.0,561.0,19,6,275.63898843817145,2111.5778370000003,7.660664585096052,3,1007.4221629999997
22,7879119991425503657,3840.0,627.0,19,6,492.584022096614,4273.889762,8.676468521672291,1,-433.8897619999998
23,-7251830538677519285,3316.0,362.0,10,2,301.5306181144544,3081.757502,10.220380010729897,1,234.24249800000007
24,8162081138064870554,5551.0,954.0,11,1,586.2555502532247,5055.410404,8.623219689462024,3,495.5895959999998
25,-6722633671062720412,1813.0,418.0,14,1,275.12837791693505,1739.471206,6.3223983624298095,1,73.52879400000006
26,2722667687781990889,2902.0,586.0,5,7,334.06080297486903,3005.013846,8.995409875207846,2,-103.01384599999983
27,-2652451685735030307,2133.0,803.0,15,2,315.8623089685569,1872.845165,5.929308790009624,2,260.15483500000005
28,7423188664589233437,3022.0,500.00000000000006,16,3,395.0530796761911,2799.241281,7.085734613926878,1,222.75871899999993
29,-2449842201613835308,2901.0,603.0,14,1,366.2115706921008,2751.901817,7.514513568752618,2,149.09818300000006
30,-3872987961052419345,3583.0,720.0,9,3,309.321916561548,2301.348277,7.439978073917321,4,1281.651723
31,-2545329454883823120,4161.0,797.0,8,4,459.80141712331454,3786.180428,8.234381815714546,3,374.8195719999999
32,5441370356164551342,3897.0,584.0,18,5,270.8370035850347,2090.017787,7.716884175111608,2,1806.9822129999998
33,375037865539531411,2297.0,261.0,8,4,63.93836834750945,485.625402,7.595211053253539,2,1811.3745979999999
34,-3174965294897111190,2990.0,550.0,6,6,32.26683608397968,241.84262900000002,7.4950834463771185,3,2748.157371
35,-1874011751253279379,3544.0,752.0,6,6,373.33613965092997,3030.712522,8.117918947878236,3,513.2874780000002
36,5488548421619990250,1136.0,500.00000000000006,12,0,116.15073745321904,749.223903,6.4504446500114385,1,386.77609700000005
37,6488046966510192870,2830.0,765.0,13,0,444.05834328209494,2591.196247,5.83526080795627,2,238.80375300000014
38,6186515289794562762,2803.0,706.0,18,5,389.9363748432332,2595.983428,6.657453870631248,2,207.016572
39,1559901203898125985,3810.0,673.0,6,6,305.8247991006926,2760.328634,9.025849578310893,4,1049.671366
40,-2856697483087324826,1068.0,292.0,9,3,140.4256795998075,1276.127367,9.087564116739724,0,-208.12736700000005
